state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips
DC,2023,1746436286,623650316,581356209,844434,4345560,7645120,1590558840,400097465,349088261,298393680,182254018,77058680,299238114,186599578,84703800,3336995126,1023747781,930444470,0.4766440405043612,0.5233559594956387,0.3067873168358952,0.2788270389580425,0.08967292510213873,0.055918444874588046,0.025383255534308504,0.13845394534747665,11
DC,2024,2713275543,1168918406,866723089,2311684,7187328,8675048,1712906981,468302966,458268963,364451520,284685345,65837831,366763204,291872673,74512879,4426182524,1637221372,1324992052,0.3869942036308126,0.6130057963691874,0.3698946808276721,0.29935323381164747,0.08286219603717364,0.0659423038741364,0.01683456987956785,0.13252832028939618,11
DC,2025,3662842206,2118129906,1128196342,397489,11801028,10921175,1076897300,171149306,163954032,25959399,112433924,21350578,26356888,124234952,32271753,4739739506,2289279212,1292150374,0.2272060096629285,0.7727939903370715,0.48299684172558827,0.2726205464170081,0.005560830498518962,0.02621134597011754,0.0068087608948018,0.025372894617470564,11
DE,2018,4703807646,2595742530,1502175394,380449749,719826607,156122125,8892340755,5189523621,2170533586,448647527,1341181390,316544116,829097276,2061007997,472666241,13596148401,7785266151,3672708980,0.6540338111009414,0.3459661888990586,0.5726082064849625,0.2701286328803142,0.0609803049765932,0.1515876361608713,0.03476471623134352,0.1727917164119221,10
DE,2019,4405549663,1999364802,1497006004,463638870,578806616,164390052,9508429430,4752622172,2071765095,427758050,1940455050,331764338,891396920,2519261666,496154390,13913979093,6751986974,3568771099,0.6833724103253546,0.3166275896746455,0.4852664308944423,0.2564881746009966,0.06406484543651887,0.1810597564622918,0.03565869882969789,0.1940959186117127,10
DE,2020,3911666666,1423296115,1193097590,508933990,619555262,152888788,9110719504,4138863888,2416507866,443284859,893855689,610655149,952218849,1513410951,763543937,13022386170,5562160003,3609605456,0.6996198227471241,0.3003801772528759,0.42712295046307935,0.27718464257461045,0.07312168726754938,0.11621610135371988,0.05863318189403686,0.1780312572162034,10
DE,2021,4727250868,1597063850,1334551798,555607109,593173332,261486028,11107979272,5470827415,2748496894,750794346,1311094192,859875591,1306401455,1904267524,1121361619,15835230140,7067891265,4083048692,0.7014725503698931,0.29852744963010686,0.4463396617865637,0.25784586999377834,0.08249968225595994,0.12025512147056172,0.07081435565419575,0.1971413685308144,10
DE,2022,5233606660,1801243704,1475882002,496935722,733456773,242934031,14778110635,8271072266,3346575749,756729649,1427942769,1691080235,1253665371,2161399542,1934014266,20011717295,10072315970,4822457751,0.738472886516959,0.26152711348304103,0.5033209205147329,0.24098170486372544,0.06264656613519284,0.10800669978183398,0.09664409293265504,0.18543704176388626,10
DE,2023,4879396855,1580423636,1168272631,416799774,865675508,333176599,10607454829,7960657737,4132436399,544056119,861050370,1222213150,960855893,1726725878,1555389749,15486851684,9541081373,5300709030,0.6849329383039761,0.31506706169602394,0.6160762411676751,0.3422715693388053,0.06204333279647104,0.11149624941420082,0.10043292082450346,0.18920083493969359,10
DE,2024,4750076142,1485417685,1123758026,532449256,835583271,398988998,10621281779,7859814334,4415450758,695053823,1379260524,841288868,1227503079,2214843795,1240277866,15371357921,9345232019,5539208784,0.6909787563068482,0.30902124369315176,0.6079639851618286,0.3603591050620491,0.07985651529999267,0.14408901324027662,0.08068759262352225,0.214722478818272,10
DE,2025,5469032610,1492012812,1274898525,405328453,725214629,305447622,10383261397,6842655554,3896225661,563915334,987537840,995156092,969243787,1712752469,1300603714,15852294007,8334668366,5171124186,0.6550005565386938,0.34499944346130623,0.5257704886320936,0.3262066792173141,0.06114217832270867,0.10804445515858391,0.08204514207380231,0.1751959366621404,10
FL,2018,57251655693,22657061262,16768322211,2080871509,3788982120,3334176308,80572777307,44768096220,30636566529,14121032138,4820073151,7515194047,16201903647,8609055271,10849370355,137824433000,67425157482,47404888740,0.5846044533119901,0.41539554668800993,0.48921048332555084,0.3439512698013421,0.11755465481943975,0.0624639266319347,0.07871877372424961,0.20226427503315034,12
FL,2019,55989159304,22056014967,15976749914,1361826323,4361685175,3321353184,81689576915,45204824604,31010104835,12113386269,4700779442,6910142154,13475212592,9062464617,10231495338,137678736219,67260839571,46986854749,0.5933347382348113,0.4066652617651887,0.4885346961931064,0.3412789515605366,0.09787431931802108,0.06582326992444719,0.0743142740773359,0.18195684571909093,12
FL,2020,45764830841,18451785626,13245003233,1217627080,3473428899,2649251041,76691826784,40291535744,29571898409,11166594169,4309664276,6164362832,12384221249,7783093175,8813613873,122456657625,58743321370,42816901642,0.6262773153490273,0.37372268465097264,0.4797070450010986,0.34964943901309586,0.10113146552573972,0.06355794226259408,0.07197333361808715,0.18245023105414843,12
FL,2021,55758403181,22422769105,16678169466,1472442246,4179377075,3338136040,93126834728,51304363181,37610608689,12696159068,5217573179,7650340780,14168601314,9396950254,10988476820,148885237909,73727132286,54288778155,0.6254940787677014,0.37450592123229864,0.49519437468382654,0.36463506333772183,0.0951645812102606,0.0631153926740776,0.07380501233249367,0.17731682421420336,12
FL,2022,67694105320,27085704116,19802882861,1474329420,5402522052,4030695112,112005847104,62679511520,44813176756,13923386075,5796715052,9592648532,15397715495,11199237104,13623343644,179699952424,89765215636,64616059617,0.6232936936996147,0.37670630630038526,0.49952832165586775,0.35957749985675647,0.08568569600212951,0.06232187016708567,0.0758116151965131,0.16856578722028878,12
